coin_ticker,2013_high,2015_low,2018_high,2018_low,2021_high,2022_low,present_day,change_percent_2022_to_present,category
BTC,829.99,269.33,13444.88,3467.16,67549.14,15760.19,59166.94,275,Layer 1 (L1)
ETH,0.0,0.0,757.22,90.77,4810.97,1105.99,2599.18,135,Layer 1 (L1)
USDT,0.0,0.99,1.003,1.002,1.001,0.9988,1.0,0,Stablecoins
BNB,0.0,0.0,8.48,4.674,653.81,253.56,529.6,109,Layer 1 (L1)
SOL,0.0,0.0,0.0,0.0,248.35,11.83,139.22,1077,Layer 1 (L1)
USDC,0.0,0.0,0.0,1.018,0.9998,0.9999,1.0,0,Stablecoins
XRP,0.0,0.0,2.05,0.3022,1.283,0.364,0.5653,55,Cryptocurrency
TON,0.0,0.0,0.0,0.0,8.937,1.135,1.028,-9,Layer 1 (L1)
DOGE,0.0,0.0001585,0.008691,0.002078,0.2822,0.0746,0.1011,36,Meme
TRX,0.0,0.0,0.0579,0.0135,0.11,0.05148,0.136,164,Layer 1 (L1)
ADA,0.0,0.0,0.7022,0.02983,2.126,0.3043,0.3325,9,Layer 1 (L1)
WBTC,0.0,0.0,0.0,0.0,67549.14,15681.39,59090.02,277,Wrapped-Tokens
AVAX,0.0,0.0,0.0,0.0,91.46,11.82,20.43,73,Layer 1 (L1)
SHIB,0.0,0.0,0.0,0.0,5.521e-05,8.41e-06,1.328e-05,58,Meme
BCH,0.0,0.0,2317.9,115.19,638.4,103.22,344.71,234,Layer 1 (L1)
LINK,0.0,0.0,0.7199,0.218,34.49,5.869,10.07,72,Decentralized Finance (DeFi)
DOT,0.0,0.0,0.0,0.0,53.39,5.18,4.314,-17,Smart Contract Platform
LEO,0.0,0.0,0.0,0.0,3.28,3.9,5.812,49,Exchange-based Tokens
DAI,0.0,0.0,1.1,1.014,0.9952,0.9992,0.9999,0,Stablecoins
LTC,13.28,1.73,224.34,24.36,228.91,61.25,67.41,10,Proof of Work (PoW)
UNI,0.0,0.0,0.0,0.0,26.26,5.186,6.421,24,Decentralized Exchange (DEX)
NEAR,0.0,0.0,0.0,0.0,10.72,1.561,3.95,153,Layer 1 (L1)
MATIC,0.0,0.0,0.0,0.0,1.895,0.7953,0.4045,-49,Layer 2 (L2)
ICP,0.0,0.0,0.0,0.0,54.77,3.623,7.07,95,NFT
XLM,0.0,0.004915,0.484,0.1153,0.3783,0.08422,0.09545,13,Cryptocurrency
ETC,0.0,0.0,29.23,3.91,56.61,18.01,18.65,4,Proof of Work (PoW)
XMR,0.0,0.0,339.75,44.17,274.99,126.12,148.98,18,Layer 1 (L1)
CRO,0.0,0.0,0.0,0.0,0.3929,0.06339,0.08849,40,Layer 1 (L1)
OKB,0.0,0.0,0.0,0.685,31.11,19.81,36.77,86,Exchange-based Tokens
STX,0.0,0.0,0.9581,0.01387,2.304,0.2161,1.475,583,Layer 2 (L2)
FET,0.0,0.0,0.0,0.0,0.8599,0.0548,0.8221,1400,NFT
FIL,0.0,0.0,0.0,0.0,64.27,4.162,3.524,-15,Layer 1 (L1)
HBAR,0.0,0.0,0.0,0.0,0.4226,0.04505,0.05174,15,Layer 1 (L1)
MKR,0.0,0.0,1020.87,329.0,3302.21,635.08,1960.08,209,Decentralized Finance (DeFi)
ATOM,0.0,0.0,0.0,0.0,36.65,9.003,4.626,-49,Layer 1 (L1)
VET,0.0,0.0,2.395,0.003875,0.1761,0.0177,0.02211,25,Internet of Things (IOT)
INJ,0.0,0.0,0.0,0.0,13.35,1.567,18.28,1067,Layer 1 (L1)
AAVE,0.0,0.0,0.0,0.0,332.48,55.86,110.35,98,Decentralized Finance (DeFi)
AR,0.0,0.0,0.0,0.0,78.9,9.16,21.15,131,Layer 1 (L1)
GRT,0.0,0.0,0.0,0.0,1.136,0.0537,0.1365,154,DePIN
RUNE,0.0,0.0,0.0,0.0,13.75,1.098,3.741,241,Decentralized Exchange (DEX)
HNT,0.0,0.0,0.0,0.0,42.71,2.124,7.259,242,DePIN
THETA,0.0,0.0,0.0,0.04849,7.88,0.8292,1.142,38,NFT
FTM,0.0,0.0,0.0,0.0,3.161,0.169,0.3814,126,Layer 1 (L1)
JASMY,0.0,0.0,0.0,0.0,0.2244,0.003711,0.02016,443,DePIN
ALGO,0.0,0.0,0.0,0.0,2.048,0.2447,0.1158,-53,Layer 1 (L1)
GT,0.0,0.0,0.0,0.0,7.309,3.382,7.266,115,Exchange-based Tokens
KCS,0.0,0.0,3.736,0.4771,23.77,6.529,7.983,22,Exchange-based Tokens
QNT,0.0,0.0,0.0,0.0,254.99,105.0,62.49,-40,Protocol
BSV,0.0,0.0,0.0,94.72,178.13,37.0,43.17,17,Proof of Work (PoW)
FLOW,0.0,0.0,0.0,0.0,13.91,1.12,0.5241,-53,NFT
OM,0.0,0.0,0.0,0.0,0.2425,0.02909,0.8966,2982,Layer 1 (L1)
EOS,0.0,0.0,7.64,1.95,4.86,0.8516,0.5063,-41,Smart Contract Platform
BTT,0.0,0.0,0.0,0.0,0.004089,6.5e-07,7.3e-07,12,DePIN
EGLD,0.0,0.0,0.0,0.0,309.51,40.55,25.85,-36,Layer 1 (L1)
AXS,0.0,0.0,0.0,0.0,153.39,6.258,4.6,-26,NFT
DYDX,0.0,0.0,0.0,0.0,17.34,1.829,1.072,-41,Decentralized Exchange (DEX)
ZEC,0.0,0.0,517.76,56.58,170.77,37.59,43.58,16,Proof of Work (PoW)
NEO,0.0,0.0,78.36,6.087,50.53,6.43,9.309,45,Smart Contract Platform
